model_key,split,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
baseline_majority_up,validation,0.566996699669967,0.5,0.566996699669967,1.0,0.7236731255265375,
baseline_previous_day_direction,validation,0.4772277227722772,0.46767014963514014,0.5389988358556461,0.5389988358556461,0.5389988358556461,
baseline_majority_up,test,0.49032738095238093,0.5,0.49032738095238093,1.0,0.6580129805292062,
baseline_previous_day_direction,test,0.5178571428571429,0.5176766390128817,0.5083459787556904,0.5083459787556904,0.5083459787556904,
log_reg,validation,0.7333333333333333,0.7217934566569182,0.7438370846730975,0.8079161816065192,0.7745535714285714,0.8078398733638094
log_reg,test,0.7351190476190477,0.7351350752633385,0.7271364317841079,0.7359635811836115,0.7315233785822021,0.8089828649911944
random_forest,validation,0.7042904290429043,0.7001449856611488,0.7431952662721893,0.7310826542491269,0.7370892018779343,0.7562413044095515
random_forest,test,0.6778273809523809,0.6766844256393784,0.6921768707482994,0.6176024279210925,0.652766639935846,0.7225502032497813
hist_gradient_boosting,validation,0.7280528052805281,0.723261059371362,0.7607934655775963,0.7590221187427241,0.7599067599067599,0.7891532269513615
hist_gradient_boosting,test,0.7105654761904762,0.7105291140081743,0.7033132530120482,0.708649468892261,0.7059712773998488,0.7690993874815857
