Date,index_name,next_return,strategy_key,signal,trade,gross_strategy_return,strategy_return,threshold,cost_per_trade,model_key,split,p_up
2020-02-26,DJI,-0.044178652468562674,buy_and_hold,1,0.0,-0.044178652468562674,-0.044178652468562674,,0.0001,buy_and_hold,validation,
2020-02-27,DJI,-0.013865991064414995,buy_and_hold,1,0.0,-0.013865991064414995,-0.013865991064414995,,0.0001,buy_and_hold,validation,
2020-02-28,DJI,0.050924541192694406,buy_and_hold,1,0.0,0.050924541192694406,0.050924541192694406,,0.0001,buy_and_hold,validation,
2020-03-02,DJI,-0.02943117185428623,buy_and_hold,1,0.0,-0.02943117185428623,-0.02943117185428623,,0.0001,buy_and_hold,validation,
2020-03-03,DJI,0.04527651489867246,buy_and_hold,1,0.0,0.04527651489867246,0.04527651489867246,,0.0001,buy_and_hold,validation,
2020-03-04,DJI,-0.03578993062604885,buy_and_hold,1,0.0,-0.03578993062604885,-0.03578993062604885,,0.0001,buy_and_hold,validation,
2020-03-05,DJI,-0.00981958005120731,buy_and_hold,1,0.0,-0.00981958005120731,-0.00981958005120731,,0.0001,buy_and_hold,validation,
2020-03-06,DJI,-0.07785722515327786,buy_and_hold,1,0.0,-0.07785722515327786,-0.07785722515327786,,0.0001,buy_and_hold,validation,
2020-03-09,DJI,0.04893459483074514,buy_and_hold,1,0.0,0.04893459483074514,0.04893459483074514,,0.0001,buy_and_hold,validation,
2020-03-10,DJI,-0.058555065600347844,buy_and_hold,1,0.0,-0.058555065600347844,-0.058555065600347844,,0.0001,buy_and_hold,validation,
2020-03-11,DJI,-0.09988443193754404,buy_and_hold,1,0.0,-0.09988443193754404,-0.09988443193754404,,0.0001,buy_and_hold,validation,
2020-03-12,DJI,0.09362933725523126,buy_and_hold,1,0.0,0.09362933725523126,0.09362933725523126,,0.0001,buy_and_hold,validation,
2020-03-13,DJI,-0.12926546713005727,buy_and_hold,1,0.0,-0.12926546713005727,-0.12926546713005727,,0.0001,buy_and_hold,validation,
2020-03-16,DJI,0.05195328830444246,buy_and_hold,1,0.0,0.05195328830444246,0.05195328830444246,,0.0001,buy_and_hold,validation,
2020-03-17,DJI,-0.06302378165291589,buy_and_hold,1,0.0,-0.06302378165291589,-0.06302378165291589,,0.0001,buy_and_hold,validation,
2020-03-18,DJI,0.009461317498638211,buy_and_hold,1,0.0,0.009461317498638211,0.009461317498638211,,0.0001,buy_and_hold,validation,
